Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
Q501X2	CEP72_DANRE	reviewed	Centrosomal protein of 72 kDa (Cep72)	GO:0005737; GO:0005813; GO:0007051; GO:0033566	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9P209}.
P0DPQ9	BNCR_DANRE	reviewed	Protein Bouncer	GO:0005886; GO:0007338; GO:0007342; GO:0031225; GO:0035036	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30190407}; Lipid-anchor, GPI-anchor {ECO:0000255}.
Q6P0B1	CELF2_DANRE	reviewed	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (RNA-binding protein BRUNOL-3)	GO:0000381; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006376; GO:1990904	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}.
Q6DBY9	CHST1_DANRE	reviewed	Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST)	GO:0000139; GO:0001517; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0016021; GO:0042339; GO:0045130	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q6DGY7	CRGNB_DANRE	reviewed	Gamma-crystallin N-B (Gamma-N-crystallin-B) (Gamma-N2-crystallin)	GO:0002088; GO:0005212; GO:0007601	
Q8JH70	ALDCB_DANRE	reviewed	Fructose-bisphosphate aldolase C-B (EC 4.1.2.13) (Brain-type aldolase-B)	GO:0004332; GO:0005829; GO:0006096; GO:0030388	
Q6DBQ8	CPTP_DANRE	reviewed	Ceramide-1-phosphate transfer protein (Glycolipid transfer protein domain-containing protein 1) (CPTP)	GO:0005543; GO:0005640; GO:0005794; GO:0005829; GO:0005886; GO:0008289; GO:0010008; GO:0010507; GO:0035627; GO:0050713; GO:0120009; GO:1900226; GO:1902387; GO:1902388; GO:1902389	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5TA50}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}. Cell membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}; Cytoplasmic side {ECO:0000250|UniProtKB:Q5TA50}. Endosome membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}. Nucleus outer membrane {ECO:0000250|UniProtKB:Q5TA50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q5TA50}.
Q5XJB9	ARHL1_DANRE	reviewed	[Protein ADP-ribosylarginine] hydrolase-like protein 1 (EC 3.2.-.-) (ADP-ribosylhydrolase 2)	GO:0000287; GO:0003875; GO:0051725	
Q6DHL7	C85CB_DANRE	reviewed	Coiled-coil domain-containing protein 85C-B	GO:0007275	
Q66HT8	ARHL2_DANRE	reviewed	ADP-ribose glycohydrolase ARH3 (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	GO:0000287; GO:0004553; GO:0004649; GO:0005634; GO:0005739; GO:0005759; GO:0006281; GO:0061463; GO:0090734; GO:0140290; GO:0140292	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9NX46}. Cytoplasm {ECO:0000250|UniProtKB:Q9NX46}. Chromosome {ECO:0000250|UniProtKB:Q9NX46}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q9NX46}. Note=Recruited to DNA lesion regions following DNA damage; ADP-D-ribose-recognition is required for recruitment to DNA damage sites. {ECO:0000250|UniProtKB:Q9NX46}.
Q6GML1	CMAH_DANRE	reviewed	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminic acid hydroxylase) (EC 1.14.18.2) (CMP-N-acetylneuraminate monooxygenase) (CMP-Neu5Ac hydroxylase) (CMP-NeuAc hydroxylase)	GO:0005737; GO:0006054; GO:0030338; GO:0046872; GO:0051537	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
E7FBY6	AGRA2_DANRE	reviewed	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124)	GO:0001944; GO:0002040; GO:0004930; GO:0005886; GO:0016021; GO:0016055; GO:0022009; GO:0090263; GO:1990791; GO:1990909	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26051822, ECO:0000269|PubMed:27979830}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with reck at the plasma membrane. {ECO:0000269|PubMed:26051822}.
