Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
A0SVK0	DOG1_ARATH	reviewed	Protein DELAY OF GERMINATION 1 (GLUCOSE SENSING QTL 5)	GO:0005634; GO:0006351; GO:0009738; GO:0010162; GO:0010182; GO:0043565; GO:2000033	SUBCELLULAR LOCATION: Isoform 1: Nucleus {ECO:0000269|PubMed:22829147, ECO:0000269|PubMed:26620523, ECO:0000269|PubMed:26684465}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus {ECO:0000269|PubMed:26620523}.
Q5XXA6	ANO1_HUMAN	reviewed	Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)	GO:0005227; GO:0005229; GO:0005247; GO:0005254; GO:0005737; GO:0005886; GO:0005887; GO:0006812; GO:0006821; GO:0007200; GO:0007275; GO:0015111; GO:0015705; GO:0016324; GO:0034220; GO:0034605; GO:0034707; GO:0035774; GO:0042803; GO:0046872; GO:0050965; GO:0070062; GO:1902476	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15215166, ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21984732, ECO:0000269|PubMed:22178883, ECO:0000269|PubMed:22946059}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:16261155}. Note=Cytoplasmic localization seen in neoplastic cells of head and neck squamous cell carcinoma (HNSCC) tumors. {ECO:0000269|PubMed:16261155}.
P02648	APOA1_CANLF	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	GO:0005543; GO:0006695; GO:0010873; GO:0010875; GO:0010898; GO:0015485; GO:0018158; GO:0018206; GO:0030300; GO:0031210; GO:0033344; GO:0033700; GO:0034364; GO:0034372; GO:0034380; GO:0042157; GO:0042627; GO:0042632; GO:0043691; GO:0045723; GO:0046470; GO:0050766; GO:0050821; GO:0051006; GO:0060228; GO:0070328; GO:0070653; GO:1902995	SUBCELLULAR LOCATION: Secreted.
O97492	CATA_CANLF	reviewed	Catalase (EC 1.11.1.6)	GO:0004046; GO:0004096; GO:0005102; GO:0005777; GO:0005778; GO:0006641; GO:0008203; GO:0009060; GO:0009650; GO:0014068; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0042542; GO:0042744; GO:0042803; GO:0043066; GO:0046872; GO:0050661; GO:0051092; GO:0051289; GO:0051781	SUBCELLULAR LOCATION: Peroxisome {ECO:0000250}.
P32308	OPSD_CANLF	reviewed	Rhodopsin	GO:0001750; GO:0005502; GO:0005886; GO:0005887; GO:0007186; GO:0007601; GO:0007602; GO:0008020; GO:0016021; GO:0016038; GO:0016056; GO:0018298; GO:0042622; GO:0046872; GO:0060342; GO:0071482; GO:0097381	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P02699}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P02699}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:P02699}. Note=Synthesized in the inner segment (IS) of rod photoreceptor cells before vectorial transport to disk membranes in the rod outer segment (OS) photosensory cilia. {ECO:0000250|UniProtKB:P08100}.
E2RAK7	APOA2_CANLF	reviewed	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	GO:0002740; GO:0006656; GO:0008035; GO:0008203; GO:0009395; GO:0009749; GO:0010873; GO:0010903; GO:0015485; GO:0018158; GO:0018206; GO:0030300; GO:0030301; GO:0031072; GO:0031210; GO:0033344; GO:0033700; GO:0034190; GO:0034361; GO:0034366; GO:0034370; GO:0034374; GO:0034375; GO:0034380; GO:0034384; GO:0042157; GO:0042627; GO:0042632; GO:0042803; GO:0043691; GO:0045416; GO:0046340; GO:0046982; GO:0050766; GO:0050821; GO:0050995; GO:0050996; GO:0055102; GO:0060192; GO:0060228; GO:0060621; GO:0060695; GO:0070653; GO:0120020	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P02652}.
Q9BEF8	GHRL_CANLF	reviewed	Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) [Cleaved into: Ghrelin; Obestatin]	GO:0000187; GO:0001696; GO:0001937; GO:0005179; GO:0005576; GO:0005615; GO:0005737; GO:0007204; GO:0008154; GO:0009725; GO:0016358; GO:0016608; GO:0030296; GO:0030424; GO:0031768; GO:0032024; GO:0032095; GO:0032097; GO:0032100; GO:0032691; GO:0040013; GO:0042127; GO:0042322; GO:0042536; GO:0043066; GO:0043627; GO:0045409; GO:0046010; GO:0046676; GO:0046697; GO:0050728; GO:0051461; GO:0051464; GO:0051965; GO:0060079; GO:0060124; GO:0098794; GO:0120162	SUBCELLULAR LOCATION: Secreted.
P54833	ADRB2_CANLF	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	GO:0002025; GO:0002032; GO:0004935; GO:0004941; GO:0005769; GO:0005887; GO:0006898; GO:0007188; GO:0007190; GO:0042803; GO:0043235; GO:0043410; GO:0045986; GO:0051379; GO:0051380; GO:0071880; GO:1901098; GO:1904504	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9220370}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P07550}. Early endosome {ECO:0000250|UniProtKB:P07550}. Note=Colocalizes with VHL on cell membranes. Activated receptors are internalized into endosomes prior to their degradation in lysosomes. {ECO:0000250|UniProtKB:P07550}.
Q9TT90	ANDR_CANLF	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	GO:0000790; GO:0003700; GO:0004879; GO:0005496; GO:0005497; GO:0005634; GO:0005737; GO:0006351; GO:0008013; GO:0008270; GO:0008284; GO:0010628; GO:0030521; GO:0030522; GO:0042327; GO:0043565; GO:0044212; GO:0045720; GO:0045893; GO:0045944; GO:0051092; GO:1903076; GO:2001237	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P10275}. Cytoplasm {ECO:0000250|UniProtKB:P10275}. Note=Detected at the promoter of target genes. Predominantly cytoplasmic in unligated form but translocates to the nucleus upon ligand-binding. Can also translocate to the nucleus in unligated form in the presence of RACK1. {ECO:0000250|UniProtKB:P10275}.
Q29537	P53_CANLF	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	GO:0000733; GO:0000980; GO:0000981; GO:0003677; GO:0005507; GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005759; GO:0005783; GO:0006289; GO:0006974; GO:0007049; GO:0007275; GO:0007569; GO:0016605; GO:0030308; GO:0043153; GO:0045892; GO:0045944; GO:0048512; GO:0051262; GO:0090200; GO:0097252; GO:1990841; GO:2001244	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P04637}. Nucleus {ECO:0000250|UniProtKB:P04637}. Nucleus, PML body {ECO:0000250|UniProtKB:P04637}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P04637}. Mitochondrion matrix {ECO:0000250|UniProtKB:P04637}. Note=Interaction with BANP promotes nuclear localization. Recruited into PML bodies together with CHEK2. Translocates to mitochondria upon oxidative stress. Translocates to mitochondria in response to mitomycin C treatment (By similarity). {ECO:0000250|UniProtKB:P04637}.
