Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
P62293	ASPM_PANTR	reviewed	Abnormal spindle-like microcephaly-associated protein homolog	GO:0005516; GO:0005634; GO:0005737; GO:0005819; GO:0007051; GO:0051301	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Nucleus {ECO:0000250}. Note=The nuclear-cytoplasmic distribution could be regulated by the availability of calmodulin. Localizes to spindle poles during mitosis (By similarity). {ECO:0000250}.
Q5IS65	5HT6R_PANTR	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	GO:0004930; GO:0004993; GO:0005887; GO:0005929; GO:0007187; GO:0007268; GO:0021795; GO:0030425; GO:0030594; GO:0032008	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P0DJG0	APOA1_PANTR	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	GO:0005543; GO:0006695; GO:0010873; GO:0010875; GO:0010898; GO:0015485; GO:0030300; GO:0031210; GO:0033344; GO:0033700; GO:0034364; GO:0034372; GO:0034380; GO:0042157; GO:0042627; GO:0042632; GO:0043691; GO:0045723; GO:0046470; GO:0050766; GO:0050821; GO:0051006; GO:0060228; GO:0070328; GO:0070653; GO:1902995	SUBCELLULAR LOCATION: Secreted.
Q9T9W0	ATP6_PANTR	reviewed	ATP synthase subunit a (F-ATPase protein 6)	GO:0005753; GO:0015078; GO:0015986; GO:0016021; GO:0016887; GO:0045259; GO:0045263	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
Q7YR37	ABCF1_PANTR	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50)	GO:0005524; GO:0005635; GO:0005654; GO:0005737; GO:0006413; GO:0008494; GO:0016887; GO:0042788; GO:0043022; GO:0045727	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8NE71}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q8NE71}. Nucleus envelope {ECO:0000250|UniProtKB:Q8NE71}.
Q9N298	5HT1A_PANTR	reviewed	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (Serotonin receptor 1A)	GO:0001662; GO:0004930; GO:0004993; GO:0005887; GO:0007187; GO:0007198; GO:0007210; GO:0007268; GO:0008283; GO:0014062; GO:0030425; GO:0030594; GO:0035640; GO:0042053; GO:0042310; GO:0042428; GO:0046883; GO:0050795; GO:0051378; GO:0090722	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
A5A6L1	CCN1_PANTR	reviewed	CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Protein CYR61)	GO:0001649; GO:0002041; GO:0003181; GO:0003278; GO:0003281; GO:0005178; GO:0005520; GO:0006935; GO:0007155; GO:0008201; GO:0010518; GO:0010811; GO:0030198; GO:0030335; GO:0030501; GO:0030513; GO:0031012; GO:0033690; GO:0043066; GO:0043280; GO:0044319; GO:0045669; GO:0045860; GO:0045944; GO:0050840; GO:0060413; GO:0060548; GO:0060591; GO:0060710; GO:0060716; GO:0061036; GO:0070372; GO:0072593; GO:2000304	SUBCELLULAR LOCATION: Secreted.
P16004	CD4_PANTR	reviewed	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	GO:0001816; GO:0002250; GO:0005788; GO:0005789; GO:0005887; GO:0006948; GO:0007155; GO:0008270; GO:0009897; GO:0015026; GO:0030217; GO:0030225; GO:0032507; GO:0035397; GO:0035723; GO:0042011; GO:0042012; GO:0042110; GO:0042289; GO:0042803; GO:0043123; GO:0045058; GO:0045121; GO:0045657; GO:0045860; GO:0045893; GO:0046598; GO:0050731; GO:0050829; GO:0050850; GO:0050870; GO:0051924; GO:0070374; GO:0097011; GO:1990782	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P01730}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P01730}. Note=Localizes to lipid rafts. {ECO:0000250|UniProtKB:P01730}.
Q7YQM2	AFF2_PANTR	reviewed	AF4/FMR2 family member 2 (Fragile X mental retardation protein 2 homolog) (Protein FMR-2)	GO:0002151; GO:0005634; GO:0006355; GO:0006397; GO:0008380; GO:0016607; GO:0043484	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}.
Q9N1E6	CD22_PANTR	reviewed	B-cell receptor CD22 (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (CD antigen CD22) (Fragment)	GO:0005886; GO:0007155; GO:0030246	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
Q5R1W2	ADH1B_PANTR	reviewed	All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta)	GO:0001523; GO:0004024; GO:0004745; GO:0005654; GO:0005829; GO:0005886; GO:0006069; GO:0008270; GO:0042572; GO:0042573	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q5IS54	CASP3_PANTR	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	GO:0001782; GO:0004190; GO:0004861; GO:0005634; GO:0005737; GO:0005829; GO:0006508; GO:0006915; GO:0006974; GO:0007507; GO:0007605; GO:0008627; GO:0009411; GO:0009611; GO:0016485; GO:0030182; GO:0030216; GO:0030218; GO:0030889; GO:0031647; GO:0034349; GO:0043029; GO:0043065; GO:0043066; GO:0045165; GO:0046007; GO:0048011; GO:0051402; GO:0061713; GO:0072734; GO:0097153; GO:0097199; GO:0097200; GO:1902004	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
A5A6K8	AATC_PANTR	reviewed	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GO:0004069; GO:0005829; GO:0006103; GO:0006114; GO:0006531; GO:0006532; GO:0006536; GO:0030170; GO:0047801	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P60020	5HT1B_PANTR	reviewed	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)	GO:0002031; GO:0004930; GO:0004993; GO:0005737; GO:0005887; GO:0007187; GO:0007198; GO:0007205; GO:0007268; GO:0007610; GO:0008144; GO:0014063; GO:0030425; GO:0030594; GO:0035690; GO:0042310; GO:0046849; GO:0050795; GO:0051378; GO:0071312; GO:0071502; GO:0099056; GO:0099154; GO:1904707	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
